Nr.,Partener,
crt.,,
,,
1,ADIDAC COMIMPEX S.R.L.,TEO
2,AGRO PATAKI SRL,TEO
3,ALVEROSAL SRL,TEO
4,AMBA FOL S.R.L.,CRISTI
5,BELMACO S.R.L.,ELI
6,CALCE SRL,ELI
7,CEMPLUS RO S.R.L.,CRISTI
8,CORAMET IMPORT EXPORT SRL,CRISTI
9,DAFERO SRL,RAZVAN
10,DECORLAND S.R.L.,TEO
11,DINAMIC 92 DISTRIBUTION,TEO
12,DOGAV GRUP SRL,ELI
13,EBAL,X
14,ELBI ELECTRIC&LIGHTING SRL,MADA
15,ELETERM SRL,MADA
16,ELECTRONIC,MADA
17,ELTECHIM S.R.L.,MADA
18,ENDLES SRL,CRISTI
19,EURO NARCIS S.R.L.,RAZVAN
20,FANDEMO,ELI
21,FATCOM-IMPEX SRL,CRISTI
22,FISCHER FIXINGS ROMANIA S.R.L.,RAZVAN
23,GODMAN SRL,TEO
24,GUNNEX S.R.L,TEO
25,HARDEX PRODUCTS S.R.L.,TAVI
26,HASINTO SRL,TEO
27,INCOPLAST SYSTEM S.R.L.,CRISTI
28,INSTAL CASA,MADA
29,INTTECH INDUSTRY SRL,TEO
30,ITALROMAN IMPEX SRL,X
31,KOBER S.R.L.,CRISTI
32,LECHPOL ELECTRONIC SRL,X
33,LEVIROM PRODCOM SRL,MADA
34,LIST IRIGATII  SRL,TEO
35,LUMY TOOLS TRANS SRL,TAVI
36,MELINDA IMPEX STEEL SRL,MARI SI ELI
37,MELINDA-IMPEX INSTAL SA,MADA
38,MENATWORK SOLUTIONS SRL,TEO
39,MIL TRADE S.R.L.,CRISTI
40,OBERHAUSER INVEST SRL,TEO
41,OLIMP-IMPEX SRL,CRISTI
42,POLTERGEIST,MADA
43,PROCLAU,TEO
44,PROFIL IMPORT EXPORT SRL,X
45,PROFILUX SA,MADA
46,REZMIVES C. AUREL PERSOANA FIZICA AUTORIZATA,CRISTI
47,ROMDANIEL SRL,TEO
48,ROMPROFIX SRL,TEO
49,ROMSTAL IMPEX SRL,X
50,SAS SI FIII SRL,X
51,SCHULLER EH KLAR SRL,TAVI
52,SEDA INVEST SRL,RAZVAN
53,SENTOSA IMPEX SRL,CRISTI
54,SERSTILL SRL,MADA
55,SILK PLASTER INNOVATIONS S.R.L.,TEO
56,SINDACO INTERNATIONAL PRODUCT SRL,CRISTI
57,SOLA Messwerkzeuge GMBH,TEO
58,SOUDAL SRL,TAVI
59,STOICA MITICA INTREPRINDERE FAMILIALA,CRISTI
60,STUDENTII MUNCITORI SRL,CRISTI
61,SURUBEX TRADE SRL,RAZVAN
62,TAL TEDOM SRL,MARI SI ELI
63,TEMAD CO SRL,CRISTI
64,TERAPLAST SRL,X
65,THENORDICMARK S.R.L.,CRISTI
66,TOBIMAR S.R.L.,MA
67,TREND IMPEX SRL,CRISTI
68,UNIPREST INSTAL SRL,MADA
69,VOX,TEO
70,VEST BATERY S.R.L,TEO
