Nr.,Articol,Clasa,Cod extern,Cod,Pret,UM,Stoc,PRODUCATOR,Data
crt.,,articol,,articol,vanzare,,curent,,adaugarii
1,*RACORD FLEXIBIL GAZ INOX 1/2 30-60INT-EXT,1,9007912547754,17236,15.20,Buc,5.00,,13.11.2025
2,*RACORD FLEXIBIL GAZ INOX 1/2 75-150 INT-EXT,1,5940084965596,17237,27.00,Buc,6.00,,13.11.2025
3,+FURTUN CU INSERTIE-TRS 1/2 1ML/SUL 50ML,1,9007912546719,17056,3.30,ML,84.00,,03.07.2025
4,+FURTUN CU INSERTIE-TRS 3/4 1ML/SUL 50 ML,1,9007912546726,17057,4.70,ML,50.00,,03.07.2025
5,BURLAN SOBA 0.5ML NEGRU FI 120MM,1,9007912542759,16242,21.00,BUC,6.00,,20.10.2023
6,CAPAC CAMIN NEGRU 400X400,1,9007767516776,11799,106.60,Buc,0.00,,17.03.2017
7,CAPAC SCARA MANSARDA 70,1,9007767537665,14724,55.00,BUC,0.00,,26.06.2021
8,CARLIG SOBA,1,9007912542698,16236,12.00,Buc,0.00,,20.10.2023
9,CLESTE FIXARE PENE METALIC,1,8058340186528,13593,70.00,BUC,5.00,,26.07.2019
10,COAMA GS-LUX D-MATT 8017,1,9007912538790,15647,93.79,BUC,3.00,,03.10.2022
11,COLIER INOX -BALL LOCK 4.6X200MM,1,6424829300433,13206,0.60,Buc,140.00,,19.03.2019
12,COLIER INOX -BALL LOCK 4.6X250MM,1,6424829300440,13207,0.70,Buc,206.00,,19.03.2019
13,COLIER INOX -BALL LOCK 4.6X300MM,1,6424829300457,13208,0.80,Buc,124.00,,19.03.2019
14,COLIER INOX PT FURTUN   8-12MM,1,9007767526133,13202,1.50,Buc,27.00,,19.03.2019
15,COLIER INOX PT FURTUN  60-80MM,1,9007767526157,13204,2.80,Buc,63.00,,19.03.2019
16,COLIER INOX PT FURTUN 100-120MM,1,9007767526140,13203,3.60,Buc,83.00,,19.03.2019
17,CUPTOR SOBA MARE CU TAVA,1,9007912542711,16238,93.00,Buc,0.00,,20.10.2023
18,CUPTOR SOBA MIJLOCIU CU TAVA,1,9007912542704,16237,85.00,Buc,0.00,,20.10.2023
19,DERULATOR DE BANDA RIGIPS,1,3479135021506,13597,18.00,BUC,2.00,,26.07.2019
20,DISTANTIER 1MM TWO 50BUC/PG,1,9007767530031,13731,14.80,PG,79.00,,11.10.2019
21,DISTANTIER 3MM TWO 50/PG,1,9007767530574,13811,18.80,Buc,174.00,,02.12.2019
22,ELEMENT INCHIDERE COAMA TERACOT,1,9007767534954,14313,6.00,Buc,55.00,,22.09.2020
23,EMAIL SPOR AQUA SUPER LUCIOS ROSU 0.7L,1,3800738526493,15871,38.50,BUC,0.00,,02.02.2023
24,ETRIER FI 8 25X50,1,9007767531304,12799,2.80,Buc,0.00,,15.06.2018
25,FRONTON MOD.DREAPTA D-MATT 7016,1,9007912542636,16214,50.00,M2,0.00,,18.10.2023
26,FRONTON MOD.DREAPTA D-MATT 8017,1,9007912538806,15648,50.36,BUC,3.00,,03.10.2022
27,FRONTON MOD.STANGA D-MATT 7016,1,,16215,50.00,M2,0.00,,18.10.2023
28,FRONTON MOD.STANGA D-MATT 8017,1,9007912538813,15649,50.36,BUC,3.00,,03.10.2022
29,FRONTON MOD.STG 7016,1,,16216,58.00,M2,0.00,,18.10.2023
30,GARNITURA PT PANOU 0.50 1.16 M 8017,1,9007912541998,16145,41.20,BUC,0.00,,28.08.2023
31,GARNITURA PT PANOU 0.50 1.16 M 9005,1,9007912542049,16150,41.20,PAC,0.00,,28.08.2023
32,GARNITURA PT PANOU 0.50 1.6M,1,9007912542056,16151,56.70,BUC,0.00,,28.08.2023
33,GLAF INTERIOR 300MM ANTRACIT 6M,1,9007912548140,17317,242.50,BUC,2.00,,20.02.2026
34,GRANIT SILVIA 60X30X1.5,1,9007912540977,16026,102.70,M2,0.00,,13.06.2023
35,GRINDA PTH 4.75,1,,14353,125.00,BUC,0.00,,21.10.2020
36,HASIT PE 410  15 LCOD 55090,1,,13581,603.33,GAL,0.00,,22.07.2019
37,INCEPUT COAMA INCLINATA ZS-LUX D-MATT 8017,1,9007912538820,15650,62.93,BUC,0.00,,03.10.2022
38,JARDINIERA CASSETA KUBE 80cm,1,9007767537061,14637,745.00,Buc,0.00,,13.05.2021
39,JARDINIERA CASSETA KUBE HIGH 80cm WHITE,1,9007767537078,14638,"1,100.00",Buc,0.00,,13.05.2021
40,JARDINIERA DUO 37cm SQUARE KIT LUMINA,1,9007767536996,14629,560.00,Buc,0.00,,13.05.2021
41,JARDINIERA DUO 38cm CONE KIT LUMINA,1,9007767537085,14628,580.00,Buc,0.00,,13.05.2021
42,JARDINIERA KUBE HIGHT 100cm KIT LUMINA,1,9007767537009,14630,"1,725.00",Buc,0.00,,13.05.2021
43,JARDINIERA SFERA 55cm KIT LUMINA,1,9007767536989,14631,930.00,Buc,0.00,,13.05.2021
44,JARDINIERA VASO DUO 38cm CONTAINER,1,9007767537016,14632,200.00,Buc,0.00,,13.05.2021
45,JARDINIERA VASO DUO QUADRO 37cm CONTAINER,1,9007767537023,14633,215.00,Buc,0.00,,13.05.2021
46,JARDINIERA VASO ILIE 47cm,1,9007767537054,14636,980.00,Buc,0.00,,13.05.2021
47,LAZUR VALTTI MAT 0.9L 5052,1,9007912542841,16251,82.00,Buc,0.00,,24.10.2023
48,NISIP,1,9007767521350,12511,70.00,MC,0.00,,12.03.2018
49,ONDULINA TRANSPARENTA 3 M,1,9007767487885,6923,42.10,ML,0.00,,12.12.2011
50,PACHET VARIANTE 100 200X120CM FATA/VERSO 7016,1,9007912542582,16209,600.95,SET,0.00,,13.10.2023
51,PACHET VARIANTE 150 200X120 FATA/VERSO 7016,1,9007912542599,16210,600.95,SET,0.00,,13.10.2023
52,PANA TWO 50BUC/PG,1,9007767530048,13732,29.50,PG,109.00,,11.10.2019
53,PANEL 100 NUC FATA SPATE 7016,1,9007912541066,16036,94.35,ML,0.00,,15.06.2023
54,PANEL 150 FATA-SPATE 7016,1,9007912541042,16034,83.90,ML,0.00,,15.06.2023
55,PANEL 150 FATA-SPATE WALNUT,1,9007912541592,16103,103.50,ML,0.00,,18.07.2023
56,PANEL 200 FATA -SPATE 7016,1,9007912541035,16033,85.90,ML,0.00,,15.06.2023
57,PANEL 200 NUC FATA SPATE,1,9007912541059,16035,120.50,ML,0.00,,15.06.2023
58,PANEL VARIANTE 150 FATA-SPATE,1,9007912541653,16109,103.50,ML,0.00,,18.07.2023
59,PANOU VARIANTE 100 FATA-SPATE 7016,1,9007912541639,16107,62.10,ML,0.00,,18.07.2023
60,PANOU VARIANTE 100 FATA/SPATE 9005,1,9007912542025,16148,118.00,ML,0.00,,28.08.2023
61,PANOU VARIANTE 100 FATA/SPATE STEJAT ALBIT,1,9007912541967,16142,118.00,ML,0.00,,28.08.2023
62,PANOU VARIANTE 150 FATA/SPATE 8017,1,9007912541950,16141,88.00,ML,0.00,,28.08.2023
63,PANOU VARIANTE 150 FATA/SPATE 9005,1,9007912542018,16147,88.00,ML,0.00,,28.08.2023
64,PANOU VARIANTE 200 FATA/SPATE 8017,1,9007912541943,16140,107.50,ML,0.00,,28.08.2023
65,PANOU VARIANTE 200 FATA/SPATE 9005,1,9007912542001,16146,107.50,ML,0.00,,28.08.2023
66,PENEBAR SW 45 RAPID TIP A 19MMX25MMX5ML,1,,11519,324.00,SUL,0.00,,18.08.2016
67,PENEBAR SW45 TIP B 25MMX9MMX4ML,1,,11520,188.50,SUL,0.00,,18.08.2016
68,PENETRON 22.7KG,1,,11213,545.00,BUC,0.00,,07.03.2016
69,PENETRON ADMIX SOLUBLE BAGS 18KG,1,,11518,791.50,Buc,0.00,,18.08.2016
70,PERIMETRAL W 15X8X12X15MM 3050MM,1,,16573,13.70,ML,0.00,,11.04.2024
71,PERVAZ COMPOZIT,1,9007767521367,12512,90.00,ML,0.00,,12.03.2018
72,PERVAZ METALIC EXT. ALB 1MMX360MM,1,9007912537380,15269,107.10,ML,0.00,,23.03.2022
73,PIATARA ORNAMENTALA,1,9007767535807,14426,48.50,Box,0.00,,18.01.2021
74,PLACA HPL UV DUBLU DECOR RC459/RC460 6MM 2440X1220,1,,15939,0.00,M2,0.00,,04.05.2023
75,PLACA HPL UV DUBLU DECOR RC871/RC604 6MM 3050X1300,1,,15950,0.00,M2,0.00,,10.05.2023
76,PLACAJ GRI DESCHIS 60X60X1.5,1,9007912539209,15735,253.80,M2,0.00,,01.11.2022
77,PLINTA ESPUMO 101 ALB 65 X 2.4M,1,9007912547655,17254,38.20,Buc,8.00,,25.11.2025
78,PLINTA ESPUMO 401 ALB 100 X 2.4M,1,9007912547686,17266,50.90,Buc,0.00,,15.12.2025
79,POLICARBONAT 8MM NEGRU 2 PERETI 3X2.1M=6.3MP,1,9007912537434,15281,269.00,Buc,0.00,,29.03.2022
80,POLICARBONAT 8MM NEGRU 2 PERETI 6X2.1M=12.6MP,1,9007912537427,15280,538.00,BUC,0.00,,29.03.2022
81,POLICARBONAT CLASIC 4MM TRANS. 2 PERETI 6X2.1M=12.6MP,1,9007912542094,16156,248.00,BUC,1.00,,01.09.2023
82,POLICARBONAT COMPACT FUM 6MM 2.050X4500 MM,1,9007912542964,16267,"3,198.00",Buc,0.00,,09.11.2023
83,POLICARBONAT COMPACT TRS 6MM 2.050X3.050 MM,1,9007912542957,16266,"2,045.00",Buc,0.00,,09.11.2023
84,POLICARBONAT COMPACT TRS 6MM 2.050X4.5 M,1,9007912540823,16010,"3,085.00",Buc,0.00,,26.05.2023
85,POLISTIREN AUSTROTHERM EPS 80 2 CM COALA 24,1,9007767505848,9852,2.70,Buc,18.00,,11.11.2014
